firm_id,year,tinh,nganh_kd,firm_ownership,soe,private,fdi,ma_thue,region,big_city,firmage,Output,Labor,Capital,Leverage,Wage,Size,lnOutput,lnLabor,lnCapital,lnWage,lnSize,lnVA,lnSales,VA,equity,export,import
3600390685,2012,75,31001,2.0,0.0,1.0,0.0,3600390685.0,North Southeast,0.0,14.0,13480.0,130,16521.0,0.6203242540359497,34.45217514038086,17270.0,9.508962384466297,4.867534450455582,9.712387577930592,3.5395721345196267,9.756726171140725,8.270269111436624,9.508962384466297,3906.0,6557.0,,
3600390685,2013,75,31001,2.0,0.0,1.0,0.0,3600390685.0,North Southeast,0.0,15.0,16934.0,131,17389.0,0.5727614164352417,38.79999923706055,15434.0,9.737078714202223,4.875197323201151,9.76359310138207,3.6584202269658395,9.644328147017548,8.663714844079005,9.73825907316835,5789.0,6594.0,,
3600390685,2014,75,31001,2.0,0.0,1.0,0.0,3600390685.0,North Southeast,0.0,16.0,18398.0,136,18310.0,0.5599107146263123,44.77165222167969,15231.0,9.819997242037102,4.912654885736052,9.815202637668557,3.801575176233064,9.631088103615504,8.79300509129753,9.819997242037102,6588.0,6703.0,,
3600390685,2015,75,31001,2.0,0.0,1.0,0.0,3600390685.0,North Southeast,0.0,17.0,26523.0,136,7689.0,0.6038546562194824,48.875,17226.0,10.185767560073915,4.912654885736052,8.94754601503218,3.8892660183055296,9.75417514934912,8.980423936374544,10.185767560073915,7946.0,6824.0,,
3600390685,2016,75,31001,2.0,0.0,1.0,0.0,3600390685.0,North Southeast,0.0,18.0,21721.0,105,39295.0,0.5899434089660645,68.06542205810547,17322.0,9.986034813503693,4.653960350157523,10.578852563300275,4.2204693317548125,9.75973264889099,9.043340831280013,9.986034813503693,8462.0,7103.0,,
3600390685,2017,75,31001,2.0,0.0,1.0,0.0,3600390685.0,North Southeast,0.0,19.0,23407.0,118,21650.0,0.6898580193519592,65.35134887695312,23457.0,10.060790401909905,4.770684624465665,9.982760733430636,4.179778080667512,10.062924236792623,9.0142038261485,10.060790401909905,8219.0,7275.0,885.0,
3600390685,2018,75,31001,2.0,0.0,1.0,0.0,3600390685.0,North Southeast,0.0,20.0,22253.0,102,24178.201171875,0.7388107776641846,66.17351531982422,28505.0,10.010232109966116,4.624972813284271,10.093206728178766,4.192280312195811,10.257834789465683,9.091106284052485,10.010232109966116,8876.0,7445.2,475.0,
3600390702,2012,75,31001,2.0,0.0,1.0,0.0,3600390702.0,North Southeast,0.0,14.0,8712.0,50,6568.0,0.690335750579834,28.981481552124023,9323.0,9.072456664612796,3.912023005428146,8.789964651132264,3.3666570588474856,9.140239744296693,7.665284718471351,9.072456664612796,2133.0,2887.0,,
3600390702,2013,75,31001,2.0,0.0,1.0,0.0,3600390702.0,North Southeast,0.0,15.0,11278.0,51,7317.0,0.7115660309791565,32.31683349609375,10453.0,9.330609204367127,3.9318256327243257,8.89795568688403,3.4755882553412256,9.254644297532707,7.7284157798410416,9.330609204367127,2272.0,3015.0,,
3600451842,2012,75,31001,2.0,0.0,1.0,0.0,3600451842.0,North Southeast,0.0,12.0,140204.0,543,54541.0,0.7122107148170471,29.704072952270508,77383.0,11.850853783846105,6.297109319933935,10.906707991398342,3.3912841728463965,11.256522397210913,9.973619774716505,11.850853783846105,21453.0,22270.0,,
